epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0718,2.24989,3.26683,2.76066,0.04256,0.19048,0.06512,0.02838,1.83484,3.62373,2.47307,5.001e-05,5.001e-05,5.001e-05
2,16.7627,2.10532,3.49062,2.61005,0.38702,0.36916,0.29796,0.11833,1.65029,3.3292,2.30636,0.00011438,0.00011438,0.00011438
3,21.6131,1.68744,2.57087,1.89947,0.10457,0.5,0.15842,0.04611,2.41501,3.19377,2.63736,0.000176109,0.000176109,0.000176109
4,26.1081,1.70206,2.7291,1.74334,0.54455,0.21429,0.0346,0.00906,2.77392,49.3998,4.95588,0.000235197,0.000235197,0.000235197
5,31.2542,1.79064,2.80977,1.94137,0.13083,0.21429,0.06969,0.02716,2.08622,36.1521,3.03446,0.000291645,0.000291645,0.000291645
6,35.2333,1.67438,2.39964,1.66493,0.09866,0.21429,0.07729,0.02352,2.33331,48.7287,2.62481,0.000345452,0.000345452,0.000345452
7,39.0969,1.75514,2.22671,1.70296,0.05322,0.47619,0.04411,0.01302,2.66607,205.59,3.45689,0.000396619,0.000396619,0.000396619
8,43.4746,1.79117,2.44411,1.73699,0.01566,0.47619,0.01313,0.00466,3.07634,inf,6.76146,0.000445146,0.000445146,0.000445146
9,47.436,1.62138,2.03445,1.59508,0.01392,0.78571,0.02029,0.01022,2.72272,inf,5.52074,0.000491032,0.000491032,0.000491032
10,51.3283,1.90685,2.35909,1.73409,0.01716,0.71429,0.02695,0.00612,2.68008,inf,9.62292,0.000534277,0.000534277,0.000534277
11,55.4472,1.75757,2.00775,1.70926,0.01509,0.90476,0.02329,0.00862,2.33322,inf,9.26394,0.000574882,0.000574882,0.000574882
12,59.9475,1.68912,1.98606,1.6442,0.01964,0.71429,0.01957,0.00764,2.48814,inf,16.5956,0.000612846,0.000612846,0.000612846
13,63.8682,1.61963,2.0017,1.67385,0.03054,0.64286,0.03845,0.01096,2.44016,inf,10.3879,0.00064817,0.00064817,0.00064817
14,67.8677,1.70409,1.91969,1.79884,0.07669,0.85714,0.09929,0.09634,2.01848,114.198,4.17814,0.000680853,0.000680853,0.000680853
15,72.4469,1.69556,2.02165,1.75159,0.0301,0.61905,0.03263,0.01301,2.5741,125.56,5.47036,0.000710895,0.000710895,0.000710895
16,76.6937,1.91316,1.97949,1.77532,0.01086,0.71429,0.01196,0.00292,2.99494,inf,17.5776,0.000738298,0.000738298,0.000738298
17,80.6485,1.61138,1.8797,1.66345,0.01142,0.59524,0.0108,0.0098,3.08856,316.677,16.039,0.000763059,0.000763059,0.000763059
18,86.2805,1.73892,1.80575,1.66455,0.0474,0.42857,0.03578,0.0121,2.4575,26.702,3.04338,0.00078518,0.00078518,0.00078518
19,90.2419,1.57956,1.70601,1.58372,0.01264,0.47619,0.01162,0.00504,2.45855,96.8959,3.40395,0.000804661,0.000804661,0.000804661
20,94.2905,1.57761,1.68611,1.56475,0.00471,0.45238,0.00466,0.00118,2.77549,98.9289,3.05377,0.000821501,0.000821501,0.000821501
21,98.8825,1.61687,1.66903,1.59673,0.02966,0.30952,0.02287,0.00782,3.35806,7.68579,3.54448,0.0008357,0.0008357,0.0008357
22,102.804,1.71832,1.49736,1.74424,0.55556,0.14286,0.04367,0.01175,2.65515,19.5174,3.0982,0.000847259,0.000847259,0.000847259
23,106.739,1.71003,1.80306,1.64545,0.14112,0.28571,0.11642,0.05094,2.43397,17.1223,2.70282,0.000856178,0.000856178,0.000856178
24,113.055,1.49085,1.61959,1.51818,0.13441,0.30952,0.1387,0.07496,2.28808,13.1515,2.55945,0.000862456,0.000862456,0.000862456
25,117.06,1.55591,1.51521,1.58825,0.21773,0.30952,0.21577,0.06525,2.32704,10.5741,2.64476,0.000866093,0.000866093,0.000866093
26,121.28,1.58616,1.46843,1.53606,0.18801,0.40476,0.18507,0.04189,2.54513,12.1207,2.90792,0.000841835,0.000841835,0.000841835
27,125.824,1.5674,1.41702,1.58893,0.0796,0.57143,0.07062,0.01759,3.07138,68.5729,3.53523,0.000808828,0.000808828,0.000808828
28,129.898,1.57929,1.42675,1.56408,0.11159,0.38095,0.0562,0.01774,3.20513,42.8976,3.77289,0.000775822,0.000775822,0.000775822
29,134.186,1.44719,1.2703,1.43618,0.20752,0.21429,0.13152,0.03863,2.69521,6.83821,2.83771,0.000742815,0.000742815,0.000742815
30,138.952,1.59052,1.32095,1.59025,0.31772,0.35714,0.24154,0.06926,2.60644,5.76761,2.74935,0.000709809,0.000709809,0.000709809
31,143.031,1.4824,1.57143,1.45643,0.47324,0.30097,0.24825,0.10152,2.45431,5.13437,2.67681,0.000676802,0.000676802,0.000676802
32,147.17,1.50753,1.27769,1.47939,0.49145,0.35714,0.38154,0.15186,2.22422,5.37803,2.47561,0.000643795,0.000643795,0.000643795
33,153.208,1.31209,1.18216,1.3503,0.47327,0.53388,0.43038,0.14595,2.33485,5.07618,2.53215,0.000610789,0.000610789,0.000610789
34,157.343,1.40416,1.12623,1.41684,0.60448,0.54762,0.50974,0.15825,2.40394,3.96106,2.72088,0.000577782,0.000577782,0.000577782
35,162.539,1.36402,1.29721,1.44091,0.5546,0.42857,0.45652,0.19134,2.3048,2.98656,2.5261,0.000544776,0.000544776,0.000544776
36,168.556,1.27562,1.1056,1.35246,0.52477,0.60262,0.56444,0.25093,2.11536,2.2012,2.13279,0.000511769,0.000511769,0.000511769
37,174.632,1.24434,1.14018,1.39289,0.66542,0.47619,0.54551,0.23133,2.25673,1.88176,2.15246,0.000478762,0.000478762,0.000478762
38,179.233,1.18402,1.09703,1.25597,0.67237,0.40476,0.49966,0.22083,2.11169,1.82217,2.11668,0.000445756,0.000445756,0.000445756
39,188.975,1.32218,1.18054,1.4718,0.4148,0.57143,0.49529,0.21773,2.12676,1.80431,2.25613,0.000412749,0.000412749,0.000412749
40,193.799,1.07438,1.00721,1.23865,0.52348,0.51667,0.56268,0.27847,2.10694,1.74559,2.14678,0.000379743,0.000379743,0.000379743
41,200.252,1.09579,1.03304,1.25008,0.56964,0.5362,0.61561,0.29024,2.08493,1.58154,2.08845,0.000346736,0.000346736,0.000346736
42,205.544,1.12943,0.91955,1.22049,0.83356,0.58809,0.76408,0.36447,2.12686,1.4784,2.13791,0.000313729,0.000313729,0.000313729
43,210.743,1.147,0.91838,1.3497,0.64767,0.68582,0.71417,0.3632,2.14438,1.48956,2.14489,0.000280723,0.000280723,0.000280723
44,215.011,1.07117,0.95283,1.20965,0.7475,0.68107,0.70609,0.35558,2.09063,1.49184,2.02174,0.000247716,0.000247716,0.000247716
45,226.201,1.05526,0.81475,1.2185,0.95389,0.52381,0.74074,0.38148,2.00021,1.33052,1.93186,0.00021471,0.00021471,0.00021471
46,231.677,1.00274,0.77007,1.18422,0.78041,0.62352,0.7958,0.37629,1.99709,1.25129,1.94147,0.000181703,0.000181703,0.000181703
47,239.637,0.96518,0.74422,1.11459,0.65692,0.72173,0.75338,0.36737,1.97936,1.22781,1.93813,0.000148696,0.000148696,0.000148696
48,243.803,0.96616,0.77747,1.17025,0.69742,0.61883,0.74883,0.35305,1.98367,1.1956,1.92652,0.00011569,0.00011569,0.00011569
49,248.571,0.8694,0.73679,1.11342,0.76257,0.68509,0.77163,0.37367,1.99879,1.17832,1.94049,8.26832e-05,8.26832e-05,8.26832e-05
50,262.594,0.87191,0.74755,1.15671,0.75482,0.67908,0.77002,0.38165,1.9957,1.14433,1.92701,4.96766e-05,4.96766e-05,4.96766e-05
